,title,description,rating,genre,year,length,country
123,Разъезд,"Победитель конкурса короткометражных фильмов «Быстрый старт 2». Бывает так, что день не то что не задался, а превратился в настоящий марафон неудач. Сорвался долгожданный выходной, соседка испортила любимое платье, так еще по дороге из дома попался неотесанный хам, своей машиной перекрывший проезд. Героине кажется, что весь мир ополчился против нее. Но, как правило, в критические моменты даже самый нерешительный человек может бросить вызов обстоятельствам и изменить траекторию своей судьбы. А иногда и не только своей.",7.2,Комедии,2024,"23 мин.
                                                    ",Россия
124,Как Иванушка дурачок за чудом ходил,"Чтобы спасти свою любимую от злого недуга, Иванушка отправляется за тридевять земель, побеждает коварство богатого купца Марко, жульничество Феди-конокрада, недоверие волшебника Лукомора и завоевывает любовь Насти.",7.2,Фэнтези,1977,"88 мин.
                                                    ",СССР
125,"Вы, чье, старичье?","По одноименной повести Бориса Васильева. Трогательный рассказ о двух стариках, в одиночестве доживающих свои дни в богом забытой деревеньке.",7.2,Драма,1988,"92 мин.
                                                    ",СССР
126,Бакенбарды,"Стремительно набирает силу только что возникшее в провинциальном городке общество пушкинистов. Основное отличие каждого — это пушкинские бакенбарды и отливающий серебром набалдашник элегантной трости. Они шагают, шагают и шагают. И их уже много, их не остановить.",7.2,Комедии,1990,"94 мин.
                                                    ",СССР
127,Афганский излом,"События фильма разворачиваются накануне вывода советских войск из Афганистана. В подразделение десантников, которым командует майор Бандура, направляется сын высокопоставленного военного. Причина его прибытия накануне вывода войск понятна всем: парню необходимо успеть «поучаствовать» в боевых действиях и заработать награды...",7.2,Драма,1991,"140 мин.
                                                    ",Италия
128,Пиковая дама,"Инженер Германн не похож на других — он никогда не играет в карты. Однако всегда сидит с играющими друзьями. Однажды он услышал интересную историю про тайну, позволяющую всегда выигрывать…",7.2,Драма,1982,"92 мин.
                                                    ",СССР
129,Чужие письма,"Героиня фильма - добрая и интеллигентная молодая учительница математики, желая помочь своей ученице, поселяет ее у себя дома. Девочка на удивление быстро приживается в новом доме, начинает чувствовать себя там почти хозяйкой, и даже берется руководить личной жизнью своей наставницы, ее отношениями с людьми...",7.2,Драма,1975,"93 мин.
                                                    ",СССР
130,Улица полна неожиданностей,"Возвращающийся навеселе главбух Смирнов забирается в будку регулировщика и нарушает движение транспорта на одной из улиц Ленинграда. Но постовой Вася Шанешкин доставляет в отделение милиции не нарушителя, а вполне порядочного гражданина - кассира Стройтреста Воднева, который, ко всему прочему, оказывается отцом его любимой девушки Кати. 

Вася признает свою вину, но не решается извиниться - и оставляет обиженного наедине с плохими мыслями о советской милиции. Однако молодому сержанту вскоре представится возможность защитить кассира от нападения - и герой выполнит свой долг...",7.2,Комедии,1957,"73 мин.
                                                    ",СССР
131,"Ой, вы, гуси…","Рассказ о жизни в русской глубинке без прикрас. Отснятый в естественной обстановке, с участием в большинстве своем непрофессиональных актеров, фильм вызывает неподдельное ощущение реальности.",7.2,Драма,1991,"83 мин.
                                                    ",СССР
132,Неоконченная повесть,"Участковый врач Елизавета Максимовна - красивая женщина и прекрасный отзывчивый человек. Она одинока, хотя за ней и ухаживает уверенный и перспективный коллега. Есть у Елизаветы Максимовны один пациент, мужественный, полный энергии строитель кораблей по фамилии Ершов, прикованный к постели параличом обеих ног.

Все доктора рекомендуют ему покой,а Елизавета Максимовна советует работать и не жалеть себя. Ершов всем сердцем влюбляется в свою докторшу, и она любит его, но о чувствах своих сказать не смеет. Ершов думает, что надежды у него нет, но...",7.2,Драма,1955,"100 мин.
                                                    ",СССР
133,Не болит голова у дятла,"В школе его прозвали Мухой. А он и был похож на муху. Невзрачный, взъерошенный и настырный. Муха позволял себе быть самим собой, стоять на голове в подъезде, раскачивать на кованных воротах и отчаянно любить тоненькую девочку с черными косичками. И остервенело выколачивать из барабанов ритмы вышедшего из моды джаза.",7.2,Драма,1974,"73 мин.
                                                    ",СССР
134,Мама вышла замуж,"У разведенной малярши Зины – начитанный, эгоистичный сын и новая зазноба: завязавший алкоголик с потрясающим обаянием Олега Ефремова. Все права на маму принадлежат только мальчику, но она «расписалась в загсе...» И сын стал в позу гонимого одиночки, пропащего для дома, для семьи. А счастье было (или будет) так близко...",7.2,Драма,1969,"85 мин.
                                                    ",СССР
135,Ключ без права передачи,"Кирилл Алексеевич, отставной армейский офицер, становится директором школы. Привыкший к строгости и распорядку дня, он сталкивается с беспорядочной суетой повседневной школьной жизни. Нелегко найти понимание с детьми и учителями, особенно с любимицей студентов — Мариной Максимовой, преподавателем литературы. Однако Марина немало удивляется, обнаружив в «придирчивом» Назарове проницательность, тактичность и опыт преподавателя.",7.2,Драма,1976,"94 мин.
                                                    ",СССР
136,Дневник директора школы,"Лирическая исповедь директора школы, опытного педагога, который, наблюдая за повседневной жизнью школы, пытается разобраться в современных сложных проблемах воспитания. Терпимый, уважающий талант ученика, он вступает в конфликт с завучем школы, которая упрекает его в либерализме и попустительстве. Их спор осложняется тем, что оба они преданы своему делу.",7.2,Драма,1975,"78 мин.
                                                    ",СССР
137,Долгая счастливая жизнь,"Геолог Виктор, оказывающийся по пути домой в неком провинциальном городке, встречает там девушку Лену. Между ними происходит, что называется, любовь с первого взгляда. Виктор обещает увезти Лену к себе домой, где их ждет долгая счастливая жизнь.",7.2,Драма,1966,"70 мин.
                                                    ",СССР
138,Государственный преступник,"После упорных поисков работникам органов безопасности удается найти и обезвредить опасного государственного преступника, повинного в гибели сотен людей в годы Великой Отечественной войны.",7.2,Драма,1964,"90 мин.
                                                    ",СССР
139,Все остается людям,"Известный ученый Дронов  работает в Новосибирске над созданием суперсовременного двигателя. У него очень больное сердце, он боится не успеть довести дело до конца, а испытание двигателя на заводе в Москве, как назло, уже не в первый раз проходит неудачно. Дронов отказывается от всей остальной работы, даже перепоручает руководство институтом своему ученику Морозову...",7.2,Драма,1963,"100 мин.
                                                    ",СССР
140,Одни на каникулах,"Долгожданные зимние каникулы могут оказаться мучительно скучными. Всего лишь нужны вездесущие взрослые, контролирующие каждый шаг. 11-летняя Ава знает это не понаслышке. Девочка-сорванец заперта в отеле в горах со строгими родителями. Но одним чудесным утром происходит волшебство: из гостиничного комплекса пропадают все взрослые! Долгожданная свобода приносит веселье, но вскоре оборачивается проблемами и опасностями. Взрослых необходимо вернуть. Это под силу только Аве и ее друзьям.",7.2,Приключения,2023,"85 мин.
                                                    ",Нидерланды
141,Семейка монстров,"Трехсотлетний мальчик-вампир живет в заброшенном особняке с друзьями-монстриками, мамой Пандорой и псом Фантомато. Мини-Носферату мечтает учиться, смотреть комедии и больше гулять. Но мать не отпускает сына даже за ограду: там бродит ее старый враг — злой дух Гиббус. Он ищет бывшую возлюбленную, чтобы отомстить за разбитое сердце. Однажды вампиренок тайно убегает в соседний город и встречает школьника по имени Майкл. Их дружба привлекает внимание мстительного злодея.",7.2,Мультфильм,2020,"82 мин.
                                                    ",Франция
142,"Волшебное зеркало, или Двойные неприятности","Двоечник Фридо нашёл волшебное зеркало, из которого вышло его отражение. И не просто отражение, а идеальный ребёнок, который любит учиться. Вскоре о зеркале узнают другие, и город наполняют безупречные дети. Что же делать их несовершенным оригиналам?",7.2,Приключения,2019,"89 мин.
                                                    ",Германия
143,Семейка монстров,"Малыш-вампир живёт в большом доме, скрытом от простых людей защитным барьером. Несмотря на наличие кучи весёлых соседей-монстров, нашему герою всё равно очень грустно и тоскливо. Хотя вампирёнок прожил на свете целых 300 лет, по человеческим меркам ему всего 10 лет, и он мечтает об обычной жизни ребёнка – ходить в школу, иметь друзей.
Однажды крошка-вампир нарушает главное правило, сбежав в город. В местной школе он находит тетрадку ученика и блестяще справляется с домашним заданием. Благодаря этой тетрадке малыш знакомится с обычным мальчиком Мишелем. Паренёк потерял родителей, и он, как и вампирчик, часто чувствует себя одиноко. Мальчики становятся лучшими друзьями, но у их дружбы оказывается серьёзный противник. Коварный злодей Гиббиус намерен помешать всяким отношениям между людьми и монстрами любыми способами.
Сможет ли вампирчик спасти Мишеля и приятелей-монстров от опасности? 
Об этом вы узнаете, посмотрев онлайн мультфильм «Семейка монстров» на нашем сайте.",7.2,Фэнтези,2020,"82 мин.
                                                    ",Франция
144,Большая игра,"Молли Блум получила известность организовывая подпольные турниры в покер. Её клиентами становились суперзвёзды Голливуда, крупные бизнесмены, музыканты и гиганты криминального мира. Интеллектуальные способности Молли позволили ей создать бесперебойно работающую машину игры и азарта. Однако за всё надо платить, и империя Молли начинает получать удары со всех сторон - и от мафии, и от ФБР...",7.2,Драма,2017,"135 мин.
                                                    ",Китай
145,Натали Вуд: Что остается за кадром,"История жизни легендарной актрисы глазами ее близких людей. Пронзительная документальная лента HBO покажет ранее не издававшиеся материалы, связанные с Натали Вуд: домашние фильмы, фотографии, дневники, письма и прочие ценные артефакты. Личные и профессиональные триумфы, горькие падения и маленькие радости — все важные вехи биографии иконы Голливуда также отразятся в очень доверительных интервью с ее друзьями и коллегами.",7.2,Документальные,2020,"96 мин.
                                                    ",США
146,Любовь,"Трогательная и пронзительная драма Михаэля Ханеке о любви и времени. Пожилая пара Жорж и Анна провели вместе долгие и счастливые годы. Однажды у Анны случается приступ, после которого её здоровье сильно ухудшается, и это навсегда меняет привычную жизнь героев.
Жоржу и Анне за восемьдесят лет. Супруги прожили свои жизни вместе, заботясь и всегда поддерживая друг друга, и теперь, в старости, они всё так же сильно влюблены друг в друга, как в юности. В то время как их любовь с годами только крепнет, сами герои становятся слабее и беззащитнее. Анна начинает терять память, и однажды у неё случается паралич. Чтобы заботиться о любимой, Жорж отказывается от работы, но дочь пары Ева считает, что больной матери будет лучше в доме престарелых…
Этот фильм – гимн чувству, не знающему возраста, лишающему рассудка и одновременно дарующему силы, которое даётся лишь раз в жизни, но навсегда.  Главные роли в картине Ханеке исполнили великий французский актёр Жан-Луи Трентиньян и Эмманюель Рива, дебютировавшая в военной мелодраме «Хиросима, любовь моя». Дочь пожилой супружеской пары сыграла блистательная Изабель Юппер. 
Приглашаем поклонников мощных и искренних драм смотреть онлайн фильм «Любовь» Михаэля Ханеке, получивший «Оскар», «Золотой глобус», «Золотую пальмовую ветвь» Каннского кинофестиваля, два приза Британской академии и пять премий «Сезар».",7.2,Драма,2012,"128 мин.
                                                    ",Франция
147,Она – океан,"Вдохновляющий документальный фильм об удивительных женщинах, которые захотели посвятить свою жизнь океану и пошли наперекор обстоятельствам и самой судьбе, чтобы добиться своей смелой мечты. 
Участницы документальной ленты Инны Блохиной – девять невероятно сильных, упорных и целеустремлённых женщин разных возрастов и из разных стран. Всех их объединяет одно: они захотели связать свою жизнь с океаном и стать его частью. Каждая из этих вдохновляющих героинь рассказывает о своём жизненном пути. Чинта Хэнсел – 12-летняя девочка из Индонезии, мечтающая победить в мировом чемпионате по сёрфингу. Легенды этого вида спорта – Коко Хо и Кеала Кеннели, которые делятся со зрителями историями своих успехов и поражений. Оушен Рамзи – известная заклинательница акул, которая, кажется, ничего не боится. Анна Бадер и Роза Молина занимаются фридайвингом – Анна является чемпионкой мира,  – а морской биолог Сильвия Эрл посвятила свою жизнь изучению и защите мирового океана. 
Приглашаем поклонников захватывающих документальных лент о по-настоящему храбрых женщинах смотреть онлайн фильм «Она – океан». ",7.2,Документальные,2020,"100 мин.
                                                    ",США
148,Капитал в XXI веке,"Документальный фильм на основе бестселлера французского экономиста Тома Пикетти исследует проблему богатства и распределения благ, а также причины социального неравенства в современном мире.
«Капитал в XXI веке» погружает зрителей в разные исторические эпохи и рассматривает на их примерах, как распределение экономических благ влияло на общество тех времён. Фильм рассказывает о Французской революции, мировых войнах, Великой депрессии, возникновении и развитии рабочего движения и многих других поворотных моментах в истории человечества.
Режиссер Джастин Пембертон поднимает сложные, общественно значимые вопросы неравенства и нищеты, в которой на сегодняшний день всё ещё живут миллионы людей. Картина исследует причины и возможные способы решения проблемы социального расслоения, при котором большая часть капитала на нашей планете сосредоточена в руках абсолютного меньшинства людей. Как соотносится технический прогресс и обогащение? Какое будущее ждёт человечество, если в скором времени две трети населения будут значительно беднее, чем были их родители несколько десятков лет назад?
Всем, кто интересуется вопросами экономического и социального развития, рекомендуем посмотреть документальный фильм «Капитал в XXI веке» в нашем онлайн-кинотеатре.",7.2,Документальные,2019,"103 мин.
                                                    ",Франция
149,28 панфиловцев,"Осенью 1941 года наступавшие немецкие войска отделяли от Москвы лишь 2 часа езды по шоссе и 28 человек, которые решили стоять насмерть, но не подпустить врага к столице.",7.2,Драма,2016,"113 мин.
                                                    ",Россия
150,Мама,"Нежная мелодрама о материнстве и силе женщин, спродюсированная Идой Галич. Памятный кубок и золотая медаль — награды, за которые профессиональная легкоатлетка Наташа так долго и упорно боролась. Кажется, что впереди еще много побед, но непредсказуемая жизнь вносит свои коррективы. Теперь спортивная карьера девушки под вопросом. Две полоски на тесте на беременность ясно дают понять: Наташе предстоит решать, что дороже. Но как выбрать между делом, которое отчаянно любишь, и тем, что способно подарить так много счастливых моментов?",7.2,Мелодрама,2024,"9 мин.
                                                    ",Россия
151,Спаркл: История единорога,"Какими бы сложными ни были жизненные обстоятельства, вера в настоящую дружбу и волшебство поможет справиться с любыми трудностями. В одночасье лишившись семьи и дома, пятнадцатилетняя Аннабель оказывается в приюте для сирот. Но девочка намерена бороться за то, что дорого ее сердцу. Вместе с новыми друзьями и чудесным единорогом по имени Спаркл она сделает все, чтобы родная ферма и животные не достались жестокому соседу Бо Гилмеру.",7.2,Семейные,2023,"85 мин.
                                                    ",США
152,Огонек-Огниво,"Красочная адаптация классического сюжета Ганса Христиана Андерсена расскажет историю об озорной Огонек и бедном Гончаре. Девочка постоянно находит приключения на свою голову, а друг оказывается рядом всегда, когда ей нужна помощь. Но однажды их жизнь меняется. В руки Гончара попадает волшебное огниво, которое сулит обладателю несметные богатства и вечную молодость. Теперь за предметом охотится злая и алчная королева, которая не остановится ни перед чем, чтобы заполучить источник денег и красоты.",7.2,Мультфильм,2021,"89 мин.
                                                    ",Россия
153,Тайна волшебных часов,"Энгель — школьница с ангельской внешностью и мягким характером. Ее задирают одноклассники, а понимает только подруга Кесье. Героиня хочет поладить с остальными, но не знает как. Однажды она находит в парке карманные часы и обнаруживает, что они исполняют ее желания. Девочка загадывает все, что только можно: вкусный завтрак, уборку в комнате, батут во дворе и, конечно, завести много-много друзей. Но совсем скоро Энгель придется столкнуться с обратной стороной магии.",7.2,Семейные,2020,"95 мин.
                                                    ",Нидерланды
154,Степень риска,"Фильм посвящен ценности каждой человеческой жизни. Принимая ответственное решение, врач должен руководствоваться не столько общей математической вероятностью, сколько индивидуальной степенью риска.

Несколько дней из жизни заведующего кардиохирургическим отделением больницы показаны с документальной точностью. На фоне повседневных дел доктор Седов должен принять непростое решение о сложнейшей операции на сердце выдающегося математика Саши. Со своей стороны пациенту также нелегко.",7.2,Драма,1968,"95 мин.
                                                    ",СССР
155,Ссора в Лукашах,"У жителей села Лукаши всё время что-то ломается, потому что у механизатора Виктора Туза не лежит душа к технике и починить что-либо он не может, а мечтает быть артистом. Колхозники сильно ругаются, но другого техника здесь нет. Однажды в село возвращается из армии Константин Ласточкин. Вот для него как раз ремонт не представляет никакого труда. Однако постоянные требования Константина, стремящегося изменить жизнь к лучшему, раздражают председателя колхоза.",7.2,Комедии,1959,"93 мин.
                                                    ",СССР
156,Садовник,"Фильм-притча, история героя, вырастившего яблоневый сад - это и реальная судьба, и обобщенный образ человека, живущего не для себя.",7.2,Драма,1987,"100 мин.
                                                    ",СССР
157,Простая смерть,"Мир и жизнь, увиденные глазами героя, оказываются бесконечно равнодушны к его боли и страданиям. Но неожиданно для себя в момент смерти он испытывает облегчение и успокоение. «Нельзя так жить!» – голос Толстого со старой пластинки обрамляет все повествование.",7.2,Драма,1985,"67 мин.
                                                    ",СССР
158,"Осторожно, бабушка!","Герои фильма - молодая девушка-комсомолка и ее бабушка, не уступающая внучке в активности, энтузиазме и целеустремленности. Вместе им удается организовать комсомольцев (и не только!) на строительство нового Дома культуры.",7.2,Комедии,1960,"80 мин.
                                                    ",СССР
159,Катерина Измайлова (фильм-опера),Экранизация одноименной оперы Д. Шостаковича на сюжет повести Н. Лескова «Леди Макбет Мценского уезда».,7.2,Драма,1966,"121 мин.
                                                    ",СССР
160,Дон Кихот,"Бессмертная история о романтике, чудаке и мечтателе храбром рыцаре Дон Кихоте Ламанчском, и о его спутнике, верном оруженосце Санчо Пансе. Алонсо Кихано, Дон Кихот Ламанчский, был настолько влюблен в рыцарские романы, что решил сам сделаться рыцарем и отправиться в поход, хотя времена рыцарства давно миновали...",7.2,Драма,1957,"110 мин.
                                                    ",СССР
161,Девочка и крокодил,"История о юном натуралисте Мите, который однажды оставил своих питомцев на попечение маленькой девочки Кати. Она тоже любила животных, но совсем не умела правильно за ними ухаживать...",7.2,Комедии,1956,"68 мин.
                                                    ",СССР
162,"Мама, я дома","Где-то в глубинке вместе с дочерью и внуком живет Тоня. Она ждет возвращения домой своего сына Жени, но вместо этого получает похоронку и солидную компенсацию. Оказывается, сын был наемником и погиб в Сирии. Тоня требует от властей провести расследование, но однажды Женя возвращается. Драма от продюсеров «Левиафана» и «Разжимая кулаки».",7.2,Драма,2022,"105 мин.
                                                    ",Россия
163,Горец,"В 1536 году шотландец Коннор Маклауд был сражен в битве, но таинственным образом воскрес. Вскоре он узнал, что принадлежит к бессмертной расе воинов, которых можно лишить жизни, лишь обезглавив мечом...",7.2,Фэнтези,1986,"112 мин.
                                                    ",Великобритания
164,Соблазнитель,"Писатель Генри страдает от неразделённой любви и творческого кризиса. Как снег на голову на него сваливается предложение о работе над сценарием киноленты, в которой примет участие его бывшая подруга Катарина, в которую он влюблён и поныне. Возникает надежда на второй шанс, но появление восьмилетней Магдалены всё меняет.",7.2,Мелодрама,2010,"122 мин.
                                                    ",Германия
165,Ю-571,"1942 год. Немецкие субмарины хозяйничают в Атлантике, уничтожая конвои и причиняя серьёзный ущерб флоту союзников. Перехваты радиограмм ничего не дают - коды новейшей шифровальной машины ""Энигма"" невозможно взломать. Единственный шанс для союзников изменить расклад - захватить неповреждённую ""Энигму""... на борту действующей немецкой подлодки.",7.2,Боевики,2000,"112 мин.
                                                    ",США
166,Невероятное путешествие мистера Спивета,"Мальчик десяти лет живет в штате Монтана на ранчо вместе с родителями и старшей сестрой. Отец - ковбой, который опоздал родиться лет на сто. Мать - энтомолог, полностью погружена в изучение и систематизирование насекомых. Родители почти не общаются. Сестра в постоянной оппозиции к родным, мечтает о конкурсе красоты. А он изобретатель от Бога, далеко обогнавший в развитии сверстников и многих взрослых. Одна из его работ удостоена премии и его приглашают в Вашингтон на вручение. Юный гений отправляется в путешествие через всю страну один...",7.2,Приключения,2013,"101 мин.
                                                    ",Франция
167,Осень в Нью-Йорке,"Уилл, пятидесятилетний красавец, владелец ресторанов и неисправимый плейбой нравится женщинам и отвечает им взаимностью. Но на серьезные отношения его просто не хватает. Всё меняется, когда Уилл знакомится с молодой и прекрасной Шарлоттой - и в первый раз жизни действительно влюбляется...",7.2,Мелодрама,2000,"102 мин.
                                                    ",США
168,Мой мальчик,"Уилл Фриман — 36-летний житель Северного Лондона, живущий на доходы от старой песни-хита, которую написал когда-то его отец. Он встречается с одинокими матерями, которые рады мужчине, но их дети не готовы принять нового человека в семью. Всё рушится после встречи с 12-летним Маркусом…",7.2,Комедии,2002,"98 мин.
                                                    ",Великобритания
169,Я родом из детства,"Картина о детстве тех, кто во время Великой Отечественной войны впервые перенес тяжесть утраты близких, желание мстить врагу и стремление к счастью. Герои фильма — мальчишки Игорь и Женька — живут в прифронтовом городе и ждут отцов, братьев и сестер...",7.2,Драма,1966,"100 мин.
                                                    ",СССР
170,Человек в футляре,"Учитель греческого языка Беликов, работающий в сельской гимназии, любил держать вещи в футлярчиках, всего боялся и сам жил, словно в футляре, по принципу: «как бы чего не вышло». Этим принципом он буквально «терроризировал» гимназию и жителей села. Надежда появилась, когда в село приехала Варенька – «не девица, а мармелад», хотя уже и в возрасте, и «не прочь была замуж, хотя бы и за учителя греческого языка».",7.2,Драма,1939,"80 мин.
                                                    ",СССР
171,Контрольная по специальности,"Студентка исторического факультета Алька получает задание: найти участника войны и рассказать о нем. Поначалу девушка относится к сбору необходимого материала для реферата со свойственной ей беспечностью и легкомыслием. Но встреча с Любовью Савельевной Орешко, бывшей партизанкой, переворачивает всю ее жизнь...",7.2,Драма,1981,"68 мин.
                                                    ",СССР
172,Самая нескучная школа,"Каждый день Макса в школе похож на настоящий кошмар. Эксцентричный директор придумывает все новые и новые правила, которые беспрекословно должны выполнять все ученики. Терпение детей находится на пределе, и неожиданное появление инспектора Управления по борьбе со скукой по имени Распутин Рампус становится для них сигналом к активным действиям по изменению школьных уставов.",7.2,Комедии,2023,"87 мин.
                                                    ",Германия
173,Сладкая женщина,"История жизни работницы конфетной фабрики Ани. Выросшая в деревне, она навсегда сохранила простонародный говорок, легкость в общении с людьми, определенную наивность и неутолимую жажду быть счастливой - иметь множество замечательных дорогостоящих вещей.",7.2,Драма,1976,"98 мин.
                                                    ",СССР
174,Она Вас любит,"Работник зоопарка, милый и застенчивый Костя Канарейкин, увидел на обложке «Огонька» портрет спортсменки и влюбился в нее. Между ними завязывается переписка, но по ошибке девушка вместо фотографии своего друга получает портрет красивого певца.",7.2,Мелодрама,1956,"85 мин.
                                                    ",СССР
